epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.1791,1.63848,5.4132,1.62551,0.14058,0.1,0.04334,0.02951,1.20295,7.77559,1.72749,4.998e-05,4.998e-05,4.998e-05
2,194.955,1.22417,4.06042,1.39466,0.14058,0.1,0.04334,0.02951,1.07197,21.2884,1.63277,0.000101799,0.000101799,0.000101799
3,291.204,1.16564,3.19477,1.35668,0.13333,0.13333,0.10542,0.06502,1.14135,10.4457,1.63448,0.000147962,0.000147962,0.000147962
4,384.682,1.02589,2.64054,1.24285,0.16987,0.19125,0.18548,0.13658,1.4148,5.58808,2.10495,0.000188471,0.000188471,0.000188471
5,478.661,1.00862,2.33971,1.19386,0.29485,0.33333,0.34986,0.22248,1.14343,4.17457,1.66675,0.000223325,0.000223325,0.000223325
6,572.366,1.0011,2.38881,1.24108,0.37296,0.2,0.27178,0.16248,1.4713,6.10919,2.0485,0.000252524,0.000252524,0.000252524
7,666.406,0.97102,2.02058,1.16646,0.53625,0.23333,0.31326,0.21759,1.48384,5.06936,2.30981,0.000276068,0.000276068,0.000276068
8,760.253,1.00807,2.04083,1.23507,0.75619,0.33333,0.48036,0.39068,1.1674,7.35681,1.69295,0.000293957,0.000293957,0.000293957
9,853.617,0.94327,1.84431,1.18595,0.68049,0.56667,0.63252,0.53201,0.89512,2.3391,1.41193,0.000306192,0.000306192,0.000306192
10,947.067,0.99403,1.7506,1.17696,0.75167,0.7,0.77346,0.59825,0.85151,2.30801,1.36467,0.000312771,0.000312771,0.000312771
11,1040.18,0.82264,1.61735,1.15026,0.87955,0.6087,0.78463,0.54795,1.21678,2.24543,1.78795,0.000313696,0.000313696,0.000313696
12,1134.06,0.83427,1.54141,1.11805,0.81756,0.6,0.67342,0.54858,0.78881,1.76059,1.26517,0.000308966,0.000308966,0.000308966
13,1226.54,0.79204,1.29278,1.10787,0.75462,0.64373,0.70576,0.46045,1.01787,1.9031,1.52173,0.000289884,0.000289884,0.000289884
14,1319.81,0.76243,1.26823,1.07849,0.81914,0.72672,0.79212,0.66528,0.93783,1.60948,1.47295,0.000254541,0.000254541,0.000254541
15,1412.83,0.72169,1.18544,1.05168,0.86952,0.76667,0.83984,0.66169,0.77073,1.45654,1.28572,0.000219198,0.000219198,0.000219198
16,1505.93,0.67889,1.0488,1.04789,0.975,0.96667,0.97058,0.82908,0.68876,1.15007,1.18501,0.000183855,0.000183855,0.000183855
17,1599.3,0.66433,0.96526,1.02173,0.95441,0.89313,0.92999,0.80059,0.6295,1.04709,1.12042,0.000148512,0.000148512,0.000148512
18,1692.16,0.6884,0.91049,1.01369,0.94274,0.89782,0.93279,0.8129,0.63293,0.98857,1.12126,0.000113169,0.000113169,0.000113169
19,1785.3,0.6606,0.87931,0.9993,0.94487,0.89926,0.93774,0.80967,0.65131,0.99361,1.14865,7.7826e-05,7.7826e-05,7.7826e-05
20,1878.63,0.63627,0.83393,1.00322,0.92725,0.86667,0.92108,0.79321,0.64692,0.98631,1.13432,4.2483e-05,4.2483e-05,4.2483e-05
