epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.319,1.50425,4.5349,1.6429,0.02727,0.1,0.0515,0.03093,1.41749,16.741,1.96189,4.998e-05,4.998e-05,4.998e-05
2,378.657,1.12988,3.30075,1.30353,0.175,0.1,0.13341,0.10506,1.27272,6.44643,1.83475,0.000101799,0.000101799,0.000101799
3,564.456,1.20462,2.7233,1.35405,0.15176,0.19447,0.12843,0.09166,1.13536,3.53291,1.54228,0.000147962,0.000147962,0.000147962
4,754.036,1.05663,2.42329,1.24516,0.49167,0.4,0.49339,0.33781,1.22526,2.96862,1.69565,0.000188471,0.000188471,0.000188471
5,941.042,1.08343,2.18133,1.23559,0.38006,0.23333,0.23468,0.16333,1.16772,3.1679,1.77904,0.000223325,0.000223325,0.000223325
6,1129.17,1.05466,2.2211,1.26131,0.56164,0.43333,0.50205,0.39521,0.99928,4.65007,1.58812,0.000252524,0.000252524,0.000252524
7,1320.65,1.01498,2.04108,1.22661,0.61379,0.43333,0.50561,0.39414,0.92739,3.68552,1.43095,0.000276068,0.000276068,0.000276068
8,1506.58,1.07096,2.06743,1.29054,0.44,0.46667,0.48469,0.37015,0.889,3.56705,1.43227,0.000293957,0.000293957,0.000293957
9,1688.96,1.00981,1.85082,1.23865,0.60219,0.66667,0.6693,0.51651,0.86884,4.29946,1.42416,0.000306192,0.000306192,0.000306192
10,1871.64,1.10162,1.85292,1.29927,0.68711,0.53932,0.64653,0.52248,0.8931,3.98729,1.4525,0.000312771,0.000312771,0.000312771
11,2053.82,0.86993,1.66697,1.18885,0.7725,0.73333,0.73709,0.58606,0.83001,4.58213,1.42539,0.000313696,0.000313696,0.000313696
12,2236.34,0.84849,1.54609,1.15774,0.66667,0.53333,0.60154,0.4725,0.74277,24.662,1.3047,0.000308966,0.000308966,0.000308966
13,2418.98,0.74177,1.35616,1.06154,0.83597,0.66435,0.70465,0.57474,0.77821,2.81743,1.31649,0.000289884,0.000289884,0.000289884
14,2608.11,0.77058,1.27996,1.07813,0.72237,0.65084,0.72295,0.57919,0.89346,2.26232,1.47942,0.000254541,0.000254541,0.000254541
15,2789.26,0.73332,1.28632,1.06088,0.89333,0.86667,0.9076,0.77014,0.71813,1.54611,1.28738,0.000219198,0.000219198,0.000219198
16,2971.72,0.71246,1.03974,1.05903,0.785,0.8,0.80842,0.69405,0.69818,1.49966,1.2236,0.000183855,0.000183855,0.000183855
17,3153.85,0.67727,1.00253,1.02139,0.91778,0.86667,0.92158,0.80698,0.66313,1.16176,1.13515,0.000148512,0.000148512,0.000148512
18,3335.18,0.69383,0.82738,1.02048,0.975,0.96667,0.97883,0.83024,0.64046,0.88604,1.11761,0.000113169,0.000113169,0.000113169
19,3521.57,0.6262,0.81369,0.97548,0.95,0.93333,0.94616,0.83407,0.63536,0.81425,1.09711,7.7826e-05,7.7826e-05,7.7826e-05
20,3703.77,0.63275,0.7966,0.99819,0.935,0.9,0.93774,0.84446,0.6176,0.7796,1.07992,4.2483e-05,4.2483e-05,4.2483e-05
