Epoch	Precision	Recall	F1-Score
1	0.0250	0.0333	0.0286
2	0.0000	0.0000	0.0000
3	0.0533	0.0667	0.0583
4	0.1417	0.1333	0.1352
5	0.3167	0.2667	0.2738
6	0.1917	0.2000	0.1952
7	0.1000	0.1000	0.0971
8	0.1750	0.1000	0.1186
9	0.1950	0.2000	0.1936
10	0.1917	0.1333	0.1452
11	0.0333	0.0333	0.0333
12	0.0783	0.1000	0.0869
13	0.1117	0.1333	0.1202
14	0.1250	0.1333	0.1286
15	0.1000	0.1000	0.1000
16	0.2117	0.2000	0.2002
17	0.0783	0.1000	0.0869
18	0.1233	0.1333	0.1233
19	0.1333	0.1000	0.1133
20	0.1700	0.1667	0.1650
