Epoch	Precision	Recall	F1-Score
1	0.1406	0.1000	0.1169
2	0.1406	0.1000	0.1169
3	0.1333	0.1333	0.1333
4	0.1699	0.1913	0.1799
5	0.2949	0.3333	0.3129
6	0.3730	0.2000	0.2604
7	0.5363	0.2333	0.3252
8	0.7562	0.3333	0.4627
9	0.6805	0.5667	0.6184
10	0.7517	0.7000	0.7249
11	0.8796	0.6087	0.7195
12	0.8176	0.6000	0.6921
13	0.7546	0.6437	0.6948
14	0.8191	0.7267	0.7702
15	0.8695	0.7667	0.8149
16	0.9750	0.9667	0.9708
17	0.9544	0.8931	0.9228
18	0.9427	0.8978	0.9197
19	0.9449	0.8993	0.9215
20	0.9273	0.8667	0.8959
