Epoch	Precision	Recall	F1-Score
1	0.0273	0.1000	0.0429
2	0.1750	0.1000	0.1273
3	0.1518	0.1945	0.1705
4	0.4917	0.4000	0.4411
5	0.3801	0.2333	0.2891
6	0.5616	0.4333	0.4892
7	0.6138	0.4333	0.5080
8	0.4400	0.4667	0.4529
9	0.6022	0.6667	0.6328
10	0.6871	0.5393	0.6043
11	0.7725	0.7333	0.7524
12	0.6667	0.5333	0.5926
13	0.8360	0.6643	0.7403
14	0.7224	0.6508	0.6847
15	0.8933	0.8667	0.8798
16	0.7850	0.8000	0.7924
17	0.9178	0.8667	0.8915
18	0.9750	0.9667	0.9708
19	0.9500	0.9333	0.9416
20	0.9350	0.9000	0.9172
